"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 28 21:38:34 GMT 2024","Thu Nov 28 21:38:36 GMT 2024","1895","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create buildType for not their project",""
"passed","Thu Nov 28 21:37:29 GMT 2024","Thu Nov 28 21:38:22 GMT 2024","53246","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
"passed","Thu Nov 28 21:38:39 GMT 2024","Thu Nov 28 21:38:39 GMT 2024","418","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 21:38:38 GMT 2024","Thu Nov 28 21:38:39 GMT 2024","513","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 21:38:37 GMT 2024","Thu Nov 28 21:38:38 GMT 2024","1142","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create buildType for their project",""
