"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 17:11:37 GMT 2024","Sun Dec 01 17:11:38 GMT 2024","469","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Dec 01 17:11:38 GMT 2024","Sun Dec 01 17:11:38 GMT 2024","424","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sun Dec 01 17:11:33 GMT 2024","Sun Dec 01 17:11:35 GMT 2024","1806","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create buildType for not their project",""
"passed","Sun Dec 01 17:11:36 GMT 2024","Sun Dec 01 17:11:37 GMT 2024","1130","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create buildType for their project",""
"passed","Sun Dec 01 17:10:27 GMT 2024","Sun Dec 01 17:11:20 GMT 2024","53020","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
