"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 16:35:05 GMT 2024","Sun Dec 01 16:35:21 GMT 2024","16063","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Dec 01 16:34:37 GMT 2024","Sun Dec 01 16:34:43 GMT 2024","5641","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCannotCreateBuildConfiguration","User should not be able to create a build configuration for their project without REPO_URL",""
"passed","Sun Dec 01 16:33:04 GMT 2024","Sun Dec 01 16:33:54 GMT 2024","49372","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
"passed","Sun Dec 01 16:34:49 GMT 2024","Sun Dec 01 16:35:05 GMT 2024","15800","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create a build configuration for their project",""
"passed","Sun Dec 01 16:35:22 GMT 2024","Sun Dec 01 16:35:22 GMT 2024","22","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
