"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 02 21:00:13 GMT 2024","Mon Dec 02 21:00:13 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Dec 02 20:59:04 GMT 2024","Mon Dec 02 20:59:07 GMT 2024","3767","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCannotCreateBuildConfiguration","User should not be able to create a build configuration for their project without REPO_URL",""
"passed","Mon Dec 02 20:59:58 GMT 2024","Mon Dec 02 21:00:13 GMT 2024","14794","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Mon Dec 02 20:59:15 GMT 2024","Mon Dec 02 20:59:58 GMT 2024","42631","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create a build configuration for their project",""
"passed","Mon Dec 02 20:57:25 GMT 2024","Mon Dec 02 20:58:14 GMT 2024","49476","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
