"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 16:45:29 GMT 2024","Sun Dec 01 16:45:30 GMT 2024","1123","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create buildType for their project",""
"passed","Sun Dec 01 16:45:31 GMT 2024","Sun Dec 01 16:45:32 GMT 2024","449","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sun Dec 01 16:45:27 GMT 2024","Sun Dec 01 16:45:29 GMT 2024","1734","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create buildType for not their project",""
"passed","Sun Dec 01 16:44:17 GMT 2024","Sun Dec 01 16:45:15 GMT 2024","58004","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
"passed","Sun Dec 01 16:45:31 GMT 2024","Sun Dec 01 16:45:31 GMT 2024","466","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
