"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 13:29:34 GMT 2024","Sun Dec 01 13:29:48 GMT 2024","13792","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Dec 01 13:29:07 GMT 2024","Sun Dec 01 13:29:12 GMT 2024","4758","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCannotCreateBuildConfiguration","User should not be able to create a build configuration for their project without REPO_URL",""
"passed","Sun Dec 01 13:29:18 GMT 2024","Sun Dec 01 13:29:34 GMT 2024","15805","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create a build configuration for their project",""
"passed","Sun Dec 01 13:29:49 GMT 2024","Sun Dec 01 13:29:49 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Dec 01 13:27:27 GMT 2024","Sun Dec 01 13:28:20 GMT 2024","52906","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
