"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 16:56:08 GMT 2024","Sun Dec 01 16:56:08 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Dec 01 16:53:49 GMT 2024","Sun Dec 01 16:54:42 GMT 2024","52980","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
"passed","Sun Dec 01 16:55:54 GMT 2024","Sun Dec 01 16:56:07 GMT 2024","13155","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Dec 01 16:55:39 GMT 2024","Sun Dec 01 16:55:54 GMT 2024","14628","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create a build configuration for their project",""
"passed","Sun Dec 01 16:55:28 GMT 2024","Sun Dec 01 16:55:32 GMT 2024","4311","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCannotCreateBuildConfiguration","User should not be able to create a build configuration for their project without REPO_URL",""
