"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 17:13:14 GMT 2024","Sun Dec 01 17:13:14 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Dec 01 17:12:29 GMT 2024","Sun Dec 01 17:12:34 GMT 2024","5018","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCannotCreateBuildConfiguration","User should not be able to create a build configuration for their project without REPO_URL",""
"passed","Sun Dec 01 17:13:00 GMT 2024","Sun Dec 01 17:13:14 GMT 2024","13565","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Dec 01 17:12:42 GMT 2024","Sun Dec 01 17:13:00 GMT 2024","17632","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create a build configuration for their project",""
"passed","Sun Dec 01 17:10:56 GMT 2024","Sun Dec 01 17:11:46 GMT 2024","49770","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
