"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 16:34:14 GMT 2024","Sun Dec 01 16:34:15 GMT 2024","1210","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create buildType for their project",""
"passed","Sun Dec 01 16:34:11 GMT 2024","Sun Dec 01 16:34:13 GMT 2024","1966","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create buildType for not their project",""
"passed","Sun Dec 01 16:33:05 GMT 2024","Sun Dec 01 16:33:58 GMT 2024","52827","Surefire suite","Surefire test","com.example.teamcity.ui.SetUpServerTest","com.example.teamcity.ui.SetUpServerTest","setUpTeamCityServerTest","setUpTeamCityServerTest",""
"passed","Sun Dec 01 16:34:17 GMT 2024","Sun Dec 01 16:34:17 GMT 2024","344","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sun Dec 01 16:34:16 GMT 2024","Sun Dec 01 16:34:17 GMT 2024","469","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
